leibniz: File:Gottfried Wilhelm Leibniz, Bernhard Christoph Francke.jpg | Public domain | <bdi><a href="https://en.wikipedia.org/wiki/en:Christoph_Bernhard_Francke" class
turing: File:Alan Turing at age 16.jpg | Public domain | Possibly Arthur Reginald Chaffin (1893-1954)
deepblue: File:Deep Blue versus Kasparov, 1996, Game 1.gif | CC0 | <a href="//commons.wikimedia.org/wiki/User:Morn" title="User:Morn">Morn</a>
titanic: File:RMS Titanic 3.jpg | Public domain | <bdi><a href="https://en.wikipedia.org/wiki/en:F._G._O._Stuart" class="extiw" ti
iceberg: File:114 once an iceberg now a Growler and a scupture V-P.jpg | CC BY-SA 4.0 | <a href="//commons.wikimedia.org/wiki/User:Virtual-Pano" title="User:Virtual-Pan
dials: File:Western Electric 23C Speech input mixing console (1940s) purchased by Floyd Ramsey at Audio Recorders (studio) in 1954, & unknown recording studio rack - MIM Phoenix AZ (2017-12-04 14.04.59 by bobintraveling 140459).jpg | CC BY 2.0 | <a rel="nofollow" class="external text" href="https://www.flickr.com/people/9100
riverbed: File:Aerial view of the Lower Paraná Delta, 2009-03-25.jpg | CC BY 2.0 | <a rel="nofollow" class="external text" href="https://www.flickr.com/photos/3432
oldcouple: File:Elderly couple reading (6501035325).jpg | CC BY 2.0 | <a rel="nofollow" class="external text" href="https://www.flickr.com/people/4694
engine: File:MG B V8 engine bay (14167614655).jpg | CC BY 2.0 | <a rel="nofollow" class="external text" href="https://www.flickr.com/people/9499
qm2: File:Hamburg, Hafen, Kreuzfahrtschiff -Queen Mary 2- -- 2016 -- 3050.jpg | CC BY-SA 4.0 | <bdi><a href="https://www.wikidata.org/wiki/Q34788025" class="extiw" title="d:Q3
deepblue: File:IBM Deep Blue at Computer History Museum (9361685537).jpg | CC BY 2.0 | <a rel="nofollow" class="external text" href="https://www.flickr.com/people/2878
datacenter: File:CERN Server 03.jpg | CC BY-SA 3.0 | Florian Hirzinger - <a rel="nofollow" class="external text" href="http://www.fh-
